"district_id" "ocd_id" "district_type" "office_title" "figure_name" "nome_urna" "figure_id" "party_id" "url" "district_name" "party"
"Goiás" "country:br/fed:go" "REGIONAL_LEGISLATIVE" "Deputado do estado" "FRANCISCO DOMINGUES DE FARIA" "CHICO BALLA" "11123" "PP" "https://www.facebook.com/chicoballago/" "Goiás" "Progressistas"
"Goiás" "country:br/fed:go" "REGIONAL_LEGISLATIVE" "Deputado do estado" "ALISON FLAVIO DE OLIVEIRA MAIA MEDEIROS" "ALISON MAIA" "33190" "PMN" "https://www.facebook.com/alisonmaiaoficial/" "Goiás" "Partido da Mobilização Nacional"
"Goiás" "country:br/fed:go" "REGIONAL_LEGISLATIVE" "Deputado do estado" "ROBERCI NUNES DA SILVA" "ROBERCI NUNES" "11153" "PP" "https://www.facebook.com/robercinunes" "Goiás" "Progressistas"
"Goiás" "country:br/fed:go" "REGIONAL_LEGISLATIVE" "Deputado do estado" "IRACEMA CAETANO ROSA" "IRACEMA DO BANCO" "44852" "PRP" "https://www.facebook.com/Iracema-do-Banco-2099534740060298/" "Goiás" "Partido Republicano Progressista"
"Goiás" "country:br/fed:go" "REGIONAL_LEGISLATIVE" "Deputado do estado" "CHANTER LANE PEREIRA DE ALMEIDA" "CHANTER LANE" "51007" "PATRI" "https://www.facebook.com/chanter.lane" "Goiás" "Patriota"
"Goiás" "country:br/fed:go" "REGIONAL_LEGISLATIVE" "Deputado do estado" "CARLOS HENRIQUE GODINHO VIEIRA" "CARLOS HENRIQUE" "17077" "PSL" "https://www.facebook.com/carloshenrique.vieira.1426" "Goiás" "Partido Social Liberal"
"Maranhão" "country:br/fed:ma" "REGIONAL_LEGISLATIVE" "Deputado do estado" "JOSEANE CONCEIÇÃO MIRANDA NUNES" "JOSY MIRANDA" "40040" "PSB" "https://www.facebook.com/Josy-Miranda-Dep-Estadual-40-040-280657775854633/" "Maranhão" "Partido Socialista Brasileiro"
"Maranhão" "country:br/fed:ma" "REGIONAL_LEGISLATIVE" "Deputado do estado" "KENNEDY ROCHA RIBEIRO" "KENNEDY IMPERLOVE" "19111" "PODE" "https://www.facebook.com/kennedyrribeiro" "Maranhão" "Podemos"
"Maranhão" "country:br/fed:ma" "REGIONAL_LEGISLATIVE" "Deputado do estado" "LEOARREN TULIO DE SOUSA CUNHA" "LEO CUNHA" "20020" "PSC" "https://www.facebook.com/leocunha20020/" "Maranhão" "Partido Social Cristão"
"Mato Grosso" "country:br/chamber-ed:mt" "NATIONAL_LEGISLATIVE" "Deputado" "MARCOS DE OLIVEIRA HARTER" "DR. MARCOS HARTER" "2018" "PSC" "https://www.facebook.com/marcosharteroficial/" "Mato Grosso" "Partido Social Cristão"
"Mato Grosso" "country:br/fed:mt" "REGIONAL_LEGISLATIVE" "Deputado do estado" "JEREMIAS PRADO DOS SANTOS" "JEREMIAS" "25555" "DEM" "https://www.facebook.com/jeremias.pradodossantos" "Mato Grosso" "Democratas"
"Mato Grosso" "country:br/fed:mt" "REGIONAL_LEGISLATIVE" "Deputado do estado" "WILSON MARINHO DOS SANTOS" "WILSON DO PV" "43003" "PV" "https://www.facebook.com/wilson.satos.31" "Mato Grosso" "Partido Verde"
"Mato Grosso" "country:br/fed:mt" "REGIONAL_LEGISLATIVE" "Deputado do estado" "HERMES LOURENÇO BERGAMIM" "HERMES BERGAMIM" "77555" "SOLIDARIEDADE" "https://www.facebook.com/hermesbergamimestadual/" "Mato Grosso" "Solidariedade"
"Mato Grosso" "country:br/fed:mt" "REGIONAL_LEGISLATIVE" "Deputado do estado" "JOAO JOSE DE MATOS" "JOAO JOSE DE MATOS" "15678" "MDB" "https://www.facebook.com/doutorjoaomt/" "Mato Grosso" "Movimento Democrático Brasileiro"
"Mato Grosso do Sul" "country:br/chamber-ed:ms" "NATIONAL_LEGISLATIVE" "Deputado" "VERINO MINEIRO" "VERINO MINEIRO" "5011" "PSOL" "https://www.facebook.com/profile.php?id=100022556581521" "Mato Grosso do Sul" "Partido Socialismo e Liberdade"
"Mato Grosso do Sul" "country:br/fed:ms" "REGIONAL_LEGISLATIVE" "Deputado do estado" "EDSON LUIZ DA SILVA" "EDSON SILVA" "40045" "PSB" "https://www.facebook.com/edsonluiz.silva.3348" "Mato Grosso do Sul" "Partido Socialista Brasileiro"
"Minas Gerais" "country:br/chamber-ed:mg" "NATIONAL_LEGISLATIVE" "Deputado" "RAMON MOREIRA" "DR RAMON MOREIRA" "7055" "AVANTE" "https://www.facebook.com/profile.php?id=100023451384059" "Minas Gerais" "Avante"
"Minas Gerais" "country:br/fed:mg" "REGIONAL_LEGISLATIVE" "Deputado do estado" "AIRTON GUIMARÃES NOGUEIRA" "TIODA DO VALE DO JEQUI" "14555" "PTB" "https://www.facebook.com/airton.guimaraesnogueira.9" "Minas Gerais" "Partido Trabalhista Brasileiro"
"Minas Gerais" "country:br/fed:mg" "REGIONAL_LEGISLATIVE" "Deputado do estado" "PAULO QUEIROZ FERREIRA" "PAULO QUEIROZ" "70777" "AVANTE" "https://www.facebook.com/dr.pauloqueiroz70/" "Minas Gerais" "Avante"
"Minas Gerais" "country:br/chamber-ed:mg" "NATIONAL_LEGISLATIVE" "Deputado" "ANDRE LUIS GASPAR JANONES" "ANDRE JANONES" "7040" "AVANTE" "https://www.facebook.com/AndreJanones/" "Minas Gerais" "Avante"
"Minas Gerais" "country:br/chamber-ed:mg" "NATIONAL_LEGISLATIVE" "Deputado" "NATALICIO TENORIO CAVALCANTI FREITAS LIMA" "TENORIO CAVALCANTI" "7021" "AVANTE" "https://www.facebook.com/tenoriocavalcantioficial/" "Minas Gerais" "Avante"
